"","accuracy","block","eight_IKI","eight_RT","five_IKI","five_RT","four_IKI","four_RT","group","max_time","movement_time","one_IKI","one_RT","pressed","reward","seq_keys","sequence","seven_IKI","seven_RT","six_IKI","six_RT","subject","three_IKI","three_RT","too_slow","two_IKI","two_RT","t","sess","trial"
"1",0,1,NA,NA,NA,NA,NA,NA,"rew",4034,0,NA,448,"[3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",NA,NA,NA,NA,203,NA,NA,0,NA,NA,1,"reward",1
"2",1,1,480,479,432,431,464,463,"rew",4034,3168,484,484,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",480,480,432,431,203,448,447,0,432,431,1,"reward",1
"3",1,1,480,479,433,432,496,495,"rew",4034,3408,567,567,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",496,495,495,495,203,560,559,0,448,447,2,"reward",2
"4",0,1,NA,NA,481,481,464,463,"rew",4034,2927,629,629,"[2, 1, 4, 2, 3, 1, 4]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",512,511,463,463,203,448,447,1,559,559,3,"reward",3
"5",1,1,464,464,368,368,432,431,"rew",4034,2912,457,457,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",383,383,385,384,203,448,447,0,432,431,2,"reward",2
"6",1,1,304,303,431,431,385,384,"rew",4034,3055,548,548,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",432,431,608,607,203,351,351,0,544,544,1,"reward",1
"7",1,1,304,304,416,415,400,400,"rew",4034,2880,452,452,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",416,416,528,527,203,383,383,0,433,432,2,"reward",2
"8",1,1,432,431,400,399,480,480,"rew",4034,2944,516,516,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",384,384,368,367,203,415,415,0,465,464,3,"reward",3
"9",1,1,288,288,367,367,433,432,"rew",4034,2864,482,482,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",432,431,528,527,203,336,335,0,480,479,3,"reward",3
"10",1,1,448,447,433,432,399,399,"rew",4034,3008,435,435,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",400,399,399,399,203,497,496,0,432,431,4,"reward",4
"11",1,1,432,431,384,384,464,463,"rew",4034,2992,483,483,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",367,367,385,384,203,432,431,0,528,527,4,"reward",4
"12",1,1,513,511,416,416,400,399,"rew",4034,2993,498,498,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",416,415,416,415,203,448,448,0,384,383,5,"reward",5
"13",1,1,480,479,400,399,400,399,"rew",4034,3007,482,482,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",432,431,432,431,203,431,431,0,432,432,6,"reward",6
"14",1,1,417,417,447,447,401,401,"rew",4034,2880,457,457,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",368,368,400,399,203,431,431,0,416,416,7,"reward",7
"15",1,1,335,335,432,431,416,415,"rew",4034,2976,529,529,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",433,433,560,559,203,383,383,0,417,416,4,"reward",4
"16",0,1,NA,351,384,383,416,415,"rew",4034,2895,483,483,"[4, 3, 1, 4, 2, 3, 1, 4]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",384,383,368,367,203,448,447,0,543,543,5,"reward",5
"17",1,1,335,335,384,383,400,399,"rew",4034,2832,453,453,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",432,432,481,481,203,384,383,0,416,415,5,"reward",5
"18",1,1,352,352,415,415,401,400,"rew",4034,2943,436,436,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",416,415,512,511,203,384,384,0,463,463,6,"reward",6
"19",1,1,336,336,400,399,432,431,"rew",4034,2911,468,468,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",432,432,512,511,203,383,383,0,416,416,7,"reward",7
"20",1,1,479,479,432,431,399,399,"rew",4034,3056,465,465,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",433,431,432,431,203,433,432,0,448,447,8,"reward",8
"21",1,1,383,383,481,480,432,432,"rew",4034,3088,658,658,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",432,432,528,528,203,432,431,0,400,399,8,"reward",8
"22",1,1,400,399,400,399,416,416,"rew",4034,2912,464,464,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",431,431,417,416,203,400,399,0,448,447,9,"reward",9
"23",1,1,400,399,383,383,433,432,"rew",4034,2848,495,495,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",400,400,416,415,203,416,416,0,400,399,10,"reward",10
"24",0,1,416,415,416,416,481,480,"rew",3426,2991,525,525,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",383,383,352,351,203,432,432,1,511,511,6,"reward",6
"25",1,1,321,321,415,415,385,385,"rew",3426,2865,544,544,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",400,399,496,495,203,384,383,0,464,463,9,"reward",9
"26",1,1,384,383,304,303,511,511,"rew",3425,2864,396,396,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",320,320,336,336,203,513,512,0,496,495,7,"reward",7
"27",1,1,320,320,416,416,368,367,"rew",3380,2799,511,511,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",384,383,528,528,203,384,383,0,399,399,10,"reward",10
"28",0,1,NA,NA,NA,NA,NA,NA,"rew",3394,944,411,411,"[4, 3, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",NA,NA,NA,NA,203,NA,367,0,576,575,8,"reward",8
"29",0,1,464,463,367,367,416,416,"rew",3394,2832,624,624,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",399,399,369,369,203,401,400,1,416,415,11,"reward",11
"30",1,1,496,495,400,399,432,431,"rew",3394,2832,400,400,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",352,352,336,336,203,400,399,0,416,415,9,"reward",9
"31",1,1,432,431,352,351,432,431,"rew",3379,2768,540,540,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",400,400,384,384,203,384,384,0,384,383,12,"reward",12
"32",1,1,321,320,367,367,384,384,"rew",3393,2736,530,530,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",416,415,496,495,203,369,368,0,383,383,11,"reward",11
"33",0,1,400,399,336,335,448,447,"rew",3362,2800,577,577,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",335,335,385,384,203,400,399,1,496,495,10,"reward",10
"34",1,1,384,383,352,352,415,415,"rew",3362,2672,479,479,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",303,303,337,336,203,417,417,0,464,463,11,"reward",11
"35",1,1,384,383,351,351,497,496,"rew",3359,2736,459,459,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",320,319,352,351,203,368,367,0,464,463,12,"reward",12
"36",1,1,240,239,400,399,368,367,"rew",3344,2704,460,460,"[1, 4, 2, 3, 1, 3, 4, 2]",5,"[1, 4, 2, 3, 1, 3, 4, 2]","A",399,399,593,592,203,320,319,0,384,383,12,"reward",12
"37",1,2,400,399,400,400,369,368,"rew",3332,2720,481,481,"[2, 1, 4, 2, 3, 1, 4, 3]",10,"[2, 1, 4, 2, 3, 1, 4, 3]","B",400,399,367,367,203,400,399,0,384,383,13,"reward",13
"38",1,2,401,400,320,319,399,399,"rew",3316,2673,445,445,"[4, 3, 1, 4, 2, 3, 1, 2]",30,"[4, 3, 1, 4, 2, 3, 1, 2]","C",352,351,352,352,203,385,384,0,464,463,13,"reward",13
