	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	1	3	1	random	3	4	2	4	2	113
1	1	1	2	1	B	3	3	4	4	2	113
2	7	3	4	1	random	4	2	1	2	3	113
3	7	4	1	4	random	2	2	3	1	3	113
4	4	2	1	3	random	2	4	3	1	4	113
5	6	1	4	1	random	3	3	2	4	2	113
6	4	2	1	3	C	1	4	3	2	4	113
7	7	1	2	1	random	4	3	4	2	3	113
8	1	1	4	2	random	4	3	2	1	3	113
9	4	2	4	1	random	4	1	3	3	2	113
10	7	4	2	3	random	2	3	1	1	4	113
11	2	1	3	2	random	1	4	2	4	3	113
12	1	2	2	4	A	4	1	3	1	3	113
13	1	3	2	1	random	3	4	1	4	2	113
14	7	1	4	2	random	3	3	2	1	4	113
