	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	4	3	2	random	1	2	1	4	3	113
1	1	3	4	2	random	1	2	1	3	4	113
2	1	1	4	2	random	4	3	2	3	1	113
3	7	3	2	3	random	2	1	4	4	1	113
4	7	3	4	2	random	4	2	1	3	1	113
5	4	2	1	4	random	2	3	4	3	1	113
6	1	2	1	3	C	1	4	3	2	4	113
7	1	1	2	1	B	3	3	4	4	2	113
8	7	3	1	3	random	2	4	2	1	4	113
9	1	2	2	4	A	4	1	3	1	3	113
10	7	3	4	3	random	2	1	2	4	1	113
11	7	2	1	4	random	2	4	3	3	1	113
12	7	2	1	4	random	2	4	3	1	3	113
13	7	2	4	2	random	1	3	1	3	4	113
14	4	2	1	4	random	3	4	3	1	2	113
