	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1							e	3731	640	451.0	451	[4, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C					123		272.0	0	368.0	368.0
1	1	1	464.0	464.0	416.0	416.0	448.0	448.0	e	3731	3168	425.0	425	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	416.0	416.0	544.0	544.0	123	433.0	432.0	0	447.0	447.0
2	1	1	672.0	672.0	416.0	416.0	384.0	384.0	e	3731	3104	503.0	503	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	352.0	352.0	336.0	336.0	123	384.0	384.0	0	560.0	560.0
3	0	1			496.0	496.0	448.0	448.0	e	3731	2800	695.0	695	[2, 1, 4, 2, 3, 1, 4]	[2, 1, 4, 2, 3, 1, 4, 3]	B	480.0	480.0	416.0	416.0	123	480.0	480.0	1	480.0	480.0
4	1	1	464.0	464.0	320.0	320.0	352.0	352.0	e	3731	2784	437.0	437	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	416.0	416.0	416.0	416.0	123	400.0	400.0	0	416.0	416.0
5	1	1	560.0	560.0	352.0	352.0	384.0	384.0	e	3731	2656	438.0	438	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	336.0	336.0	304.0	304.0	123	368.0	368.0	0	352.0	352.0
6	0	1		432.0	320.0	320.0	528.0	528.0	e	3731	2784	278.0	278	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	368.0	368.0	400.0	400.0	123	320.0	320.0	0	416.0	416.0
7	1	1	528.0	528.0	496.0	496.0	368.0	368.0	e	3731	3056	408.0	408	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	336.0	336.0	352.0	352.0	123	400.0	400.0	0	576.0	576.0
8	1	1	512.0	512.0	336.0	336.0	384.0	384.0	e	3731	2640	406.0	406	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	320.0	320.0	304.0	304.0	123	384.0	384.0	0	400.0	400.0
9	1	1	496.0	496.0	320.0	320.0	288.0	288.0	e	3731	2736	406.0	406	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	448.0	448.0	432.0	432.0	123	352.0	352.0	0	400.0	400.0
10	1	1	512.0	512.0	432.0	432.0	320.0	320.0	e	3731	2992	406.0	406	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	512.0	512.0	336.0	336.0	123	560.0	560.0	0	320.0	320.0
11	1	1	544.0	544.0	416.0	416.0	432.0	432.0	e	3731	2912	326.0	326	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	400.0	400.0	272.0	272.0	123	368.0	368.0	0	480.0	480.0
12	1	1	656.0	656.0	385.0	384.0	415.0	415.0	e	3731	3216	344.0	344	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	416.0	416.0	416.0	416.0	123	384.0	384.0	0	544.0	544.0
13	1	1	496.0	496.0	304.0	304.0	336.0	336.0	e	3731	2512	310.0	310	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	400.0	400.0	288.0	288.0	123	320.0	320.0	0	368.0	368.0
14	1	1	592.0	592.0	400.0	400.0	432.0	432.0	e	3731	3136	358.0	358	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	448.0	448.0	288.0	288.0	123	304.0	304.0	0	672.0	672.0
15	1	1	400.0	400.0	432.0	432.0	336.0	336.0	e	3731	2672	340.0	340	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	416.0	416.0	352.0	352.0	123	336.0	335.0	0	400.0	400.0
16	1	1	544.0	544.0	464.0	464.0	496.0	496.0	e	3731	3088	357.0	357	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	336.0	336.0	416.0	416.0	123	384.0	384.0	0	448.0	448.0
17	1	1	495.0	495.0	320.0	320.0	320.0	320.0	e	3731	2495	389.0	389	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	336.0	336.0	336.0	336.0	123	336.0	336.0	0	352.0	352.0
18	0	1		400.0	384.0	384.0	336.0	336.0	e	3731	2688	485.0	485	[4, 3, 1, 4, 2, 3, 1, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	C	384.0	384.0	272.0	272.0	123	384.0	384.0	0	528.0	528.0
19	0	1		400.0	464.0	464.0	384.0	384.0	e	3731	2688	365.0	365	[4, 3, 1, 4, 2, 3, 1, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	C	400.0	400.0	464.0	464.0	123	304.0	304.0	0	272.0	272.0
20	1	1	528.0	528.0	448.0	448.0	416.0	416.0	e	3731	2640	312.0	312	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	432.0	432.0	304.0	304.0	123	416.0	416.0	0	96.0	96.0
21	1	1	544.0	544.0	384.0	384.0	432.0	432.0	e	3731	2944	340.0	340	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	496.0	495.0	336.0	336.0	123	416.0	416.0	0	336.0	336.0
22	1	1	576.0	576.0	400.0	400.0	288.0	288.0	e	3731	2912	295.0	295	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	448.0	448.0	384.0	384.0	123	512.0	512.0	0	304.0	304.0
23	1	1	528.0	528.0	319.0	319.0	480.0	480.0	e	3731	2944	436.0	436	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	496.0	496.0	401.0	400.0	123	256.0	256.0	0	464.0	464.0
24	1	1	560.0	560.0	384.0	384.0	368.0	368.0	e	3731	2800	307.0	307	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	384.0	384.0	336.0	336.0	123	512.0	512.0	0	256.0	256.0
25	1	1	448.0	448.0	352.0	352.0	416.0	416.0	e	3270	2608	336.0	336	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	416.0	416.0	288.0	288.0	123	384.0	384.0	0	304.0	304.0
26	0	1							e	3157	480	270.0	270	[1, 4, 1]	[1, 4, 2, 3, 1, 3, 4, 2]	A					123		368.0	0	112.0	112.0
27	1	1	736.0	736.0	304.0	304.0	400.0	400.0	e	3157	2799	356.0	356	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	400.0	400.0	336.0	336.0	123	288.0	288.0	0	335.0	335.0
28	0	1	560.0	560.0	432.0	432.0	352.0	352.0	e	3155	3120	336.0	336	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	320.0	320.0	864.0	864.0	123	288.0	288.0	1	304.0	304.0
29	1	1	560.0	560.0	304.0	304.0	240.0	240.0	e	3155	2480	322.0	322	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	368.0	368.0	336.0	336.0	123	400.0	400.0	0	272.0	272.0
30	0	1							e	3143	640	352.0	352	[1, 4, 1]	[1, 4, 2, 3, 1, 3, 4, 2]	A					123		416.0	0	224.0	224.0
31	1	1	464.0	464.0	272.0	272.0	352.0	352.0	e	3143	2512	594.0	594	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	448.0	448.0	416.0	416.0	123	336.0	336.0	0	224.0	224.0
32	0	1		192.0	384.0	384.0	336.0	336.0	e	3143	2640	318.0	318	[1, 4, 2, 3, 1, 3, 4, 1]	[1, 4, 2, 3, 1, 3, 4, 2]	A	496.0	496.0	576.0	576.0	123	480.0	480.0	0	176.0	176.0
33	0	1	512.0	512.0	512.0	512.0	432.0	432.0	e	3143	3072	529.0	529	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	464.0	464.0	416.0	416.0	123	416.0	416.0	1	320.0	320.0
34	1	1	400.0	400.0	352.0	352.0	400.0	400.0	e	3143	2592	497.0	497	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	384.0	384.0	368.0	368.0	123	320.0	320.0	0	368.0	368.0
35	0	1	464.0	464.0	352.0	352.0	288.0	288.0	e	3080	2624	510.0	510	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	464.0	464.0	448.0	448.0	123	368.0	368.0	1	240.0	240.0
36	1	2	464.0	464.0	384.0	384.0	208.0	208.0	e	3080	2560	451.0	451	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	304.0	304.0	352.0	352.0	123	464.0	464.0	0	384.0	384.0
37	1	2	336.0	336.0	304.0	304.0	320.0	320.0	e	3080	2576	302.0	302	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	512.0	512.0	512.0	512.0	123	352.0	352.0	0	240.0	240.0
38	0	2	352.0	352.0	432.0	432.0	608.0	608.0	e	3012	2688	336.0	336	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	400.0	400.0	288.0	288.0	123	432.0	432.0	1	176.0	176.0
39	0	2		400.0	352.0	352.0	304.0	304.0	e	3012	2448	338.0	338	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	368.0	368.0	400.0	400.0	123	288.0	288.0	0	336.0	336.0
40	1	2	512.0	512.0	272.0	272.0	400.0	400.0	e	3012	2528	336.0	336	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	320.0	320.0	352.0	352.0	123	384.0	384.0	0	288.0	288.0
41	0	2			336.0	336.0	304.0	304.0	e	2980	1536	446.0	446	[2, 1, 4, 2, 3, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B				192.0	123	352.0	352.0	0	352.0	352.0
42	1	2	432.0	432.0	352.0	352.0	352.0	352.0	e	2980	2352	401.0	401	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	368.0	368.0	272.0	272.0	123	320.0	320.0	0	256.0	256.0
43	1	2	528.0	528.0	320.0	320.0	368.0	368.0	e	2948	2560	366.0	366	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	368.0	368.0	288.0	288.0	123	384.0	384.0	0	304.0	304.0
44	1	2	512.0	512.0	384.0	384.0	432.0	432.0	e	2932	2448	368.0	368	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	336.0	336.0	336.0	336.0	123	224.0	224.0	0	224.0	224.0
45	0	2						368.0	e	2948	912	323.0	323	[2, 1, 4, 1]	[2, 1, 4, 2, 3, 1, 4, 3]	B					123	288.0	288.0	0	256.0	256.0
46	1	2	480.0	480.0	304.0	304.0	512.0	512.0	e	2948	2368	320.0	320	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	304.0	304.0	448.0	448.0	123	192.0	192.0	0	128.0	128.0
47	0	2				384.0	368.0	368.0	e	2916	1376	333.0	333	[2, 1, 4, 2, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B					123	336.0	336.0	0	288.0	288.0
48	0	2		368.0	384.0	384.0	544.0	544.0	e	2916	2608	367.0	367	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	448.0	448.0	432.0	432.0	123	208.0	208.0	0	224.0	224.0
49	0	2	432.0	432.0	368.0	368.0	368.0	368.0	e	2916	2832	435.0	435	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	448.0	448.0	400.0	400.0	123	560.0	560.0	1	256.0	256.0
50	0	2							e	2916	640	306.0	306	[4, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C					123		544.0	0	96.0	96.0
51	1	2	336.0	336.0	352.0	352.0	304.0	304.0	e	2916	2272	400.0	400	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	400.0	400.0	336.0	336.0	123	304.0	304.0	0	240.0	240.0
52	0	2			496.0	496.0	304.0	304.0	e	2916	2192	397.0	397	[1, 4, 2, 3, 1, 3, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A		208.0	544.0	544.0	123	336.0	336.0	0	304.0	304.0
53	0	2		336.0	448.0	448.0	448.0	448.0	e	2916	2528	354.0	354	[2, 1, 4, 2, 3, 1, 4, 1]	[2, 1, 4, 2, 3, 1, 4, 3]	B	304.0	304.0	352.0	352.0	123	272.0	272.0	0	368.0	368.0
54	0	2	336.0	336.0	336.0	336.0	272.0	272.0	e	2916	2624	416.0	416	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	528.0	528.0	384.0	384.0	123	400.0	400.0	1	368.0	368.0
55	0	2		320.0	320.0	320.0	272.0	272.0	e	2916	2272	656.0	656	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	384.0	384.0	320.0	320.0	123	288.0	288.0	0	368.0	368.0
56	1	2	352.0	352.0	272.0	272.0	256.0	256.0	e	2916	2320	352.0	352	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	368.0	368.0	320.0	320.0	123	480.0	480.0	0	272.0	272.0
57	1	2	224.0	224.0	304.0	304.0	336.0	336.0	e	2912	2288	400.0	400	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	A	400.0	400.0	448.0	448.0	123	288.0	288.0	0	288.0	288.0
58	1	2	336.0	336.0	304.0	304.0	320.0	320.0	e	2912	1936	384.0	384	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	304.0	304.0	256.0	256.0	123	176.0	176.0	0	240.0	240.0
59	1	2	400.0	400.0	336.0	336.0	480.0	480.0	e	2884	2256	348.0	348	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	464.0	464.0	224.0	224.0	123	224.0	224.0	0	128.0	128.0
