	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1							e	351	411.0	411	[4, 3]	[4, 2, 3, 1, 2, 1, 3, 4]	random					118			0		351.0
1	1	1	400.0	399.0	352.0	351.0	336.0	335.0	e	2592	396.0	396	[4, 2, 3, 1, 3, 2, 4, 1]	[4, 2, 3, 1, 3, 2, 4, 1]	random	351.0	351.0	433.0	432.0	118	432.0	431.0	0	288.0	287.0
2	1	1	336.0	335.0	352.0	351.0	416.0	415.0	e	2592	422.0	422	[4, 2, 1, 3, 4, 3, 2, 1]	[4, 2, 1, 3, 4, 3, 2, 1]	random	368.0	367.0	400.0	399.0	118	368.0	367.0	0	352.0	351.0
3	1	1	336.0	335.0	384.0	383.0	320.0	319.0	e	2800	373.0	373	[1, 2, 3, 4, 1, 4, 3, 2]	[1, 2, 3, 4, 1, 4, 3, 2]	random	544.0	543.0	448.0	447.0	118	320.0	319.0	0	448.0	447.0
4	1	1	337.0	336.0	352.0	351.0	336.0	335.0	e	2673	309.0	309	[1, 3, 2, 4, 1, 3, 2, 4]	[1, 3, 2, 4, 1, 3, 2, 4]	random	336.0	335.0	400.0	399.0	118	352.0	351.0	0	560.0	559.0
5	0	1			448.0	447.0	448.0	447.0	e	1888	373.0	373	[3, 1, 2, 4, 3, 2]	[3, 1, 2, 4, 3, 4, 1, 2]	random				303.0	118	320.0	319.0	0	368.0	367.0
6	1	1	368.0	367.0	400.0	399.0	432.0	431.0	e	2944	540.0	540	[3, 4, 2, 1, 4, 3, 1, 2]	[3, 4, 2, 1, 4, 3, 1, 2]	random	464.0	463.0	384.0	383.0	118	448.0	447.0	0	448.0	447.0
7	1	1	368.0	367.0	384.0	383.0	352.0	351.0	e	2960	405.0	405	[3, 4, 2, 1, 4, 2, 3, 1]	[3, 4, 2, 1, 4, 2, 3, 1]	random	416.0	415.0	432.0	431.0	118	512.0	511.0	0	496.0	495.0
8	1	1	384.0	383.0	544.0	543.0	352.0	351.0	e	2736	677.0	677	[3, 1, 4, 2, 3, 1, 2, 4]	[3, 1, 4, 2, 3, 1, 2, 4]	random	432.0	431.0	304.0	303.0	118	384.0	383.0	0	336.0	335.0
9	1	1	400.0	399.0	560.0	559.0	352.0	351.0	e	3072	389.0	389	[4, 3, 2, 1, 3, 1, 2, 4]	[4, 3, 2, 1, 3, 1, 2, 4]	random	432.0	431.0	464.0	463.0	118	288.0	287.0	0	576.0	575.0
10	1	1	464.0	463.0	384.0	383.0	368.0	367.0	e	2864	693.0	693	[3, 4, 2, 1, 4, 1, 2, 3]	[3, 4, 2, 1, 4, 1, 2, 3]	random	384.0	383.0	384.0	383.0	118	480.0	479.0	0	400.0	399.0
11	1	1	367.0	367.0	449.0	448.0	320.0	319.0	e	2959	454.0	454	[2, 1, 3, 4, 3, 4, 2, 1]	[2, 1, 3, 4, 3, 4, 2, 1]	random	481.0	480.0	415.0	415.0	118	576.0	575.0	0	351.0	351.0
12	0	1				415.0	336.0	335.0	e	1680	613.0	613	[2, 3, 4, 1, 4]	[2, 3, 4, 1, 3, 2, 1, 4]	random					118	384.0	383.0	0	544.0	543.0
13	1	1	672.0	671.0	480.0	479.0	400.0	399.0	e	3120	430.0	430	[4, 2, 1, 3, 2, 1, 4, 3]	[4, 2, 1, 3, 2, 1, 4, 3]	random	320.0	319.0	320.0	319.0	118	400.0	399.0	0	528.0	527.0
14	1	1	400.0	399.0	464.0	463.0	496.0	495.0	e	2992	597.0	597	[3, 2, 4, 1, 2, 3, 1, 4]	[3, 2, 4, 1, 2, 3, 1, 4]	random	368.0	367.0	416.0	415.0	118	416.0	415.0	0	432.0	431.0
15	1	1	464.0	463.0	512.0	511.0	320.0	319.0	e	3088	388.0	388	[2, 3, 4, 1, 2, 4, 1, 3]	[2, 3, 4, 1, 2, 4, 1, 3]	random	464.0	463.0	480.0	479.0	118	352.0	351.0	0	496.0	495.0
16	1	1	448.0	447.0	464.0	463.0	368.0	367.0	e	2928	517.0	517	[2, 4, 1, 3, 1, 2, 4, 3]	[2, 4, 1, 3, 1, 2, 4, 3]	random	496.0	495.0	448.0	447.0	118	336.0	335.0	0	368.0	367.0
17	1	1	384.0	383.0	544.0	543.0	384.0	383.0	e	2992	421.0	421	[2, 1, 4, 3, 2, 4, 3, 1]	[2, 1, 4, 3, 2, 4, 3, 1]	random	559.0	559.0	449.0	448.0	118	352.0	351.0	0	320.0	319.0
18	1	1	336.0	335.0	384.0	383.0	320.0	319.0	e	2576	453.0	453	[3, 1, 2, 4, 1, 4, 2, 3]	[3, 1, 2, 4, 1, 4, 2, 3]	random	480.0	479.0	448.0	447.0	118	304.0	303.0	0	304.0	303.0
19	0	1			336.0	335.0	288.0	287.0	e	1648	357.0	357	[1, 2, 3, 4, 1, 2]	[1, 2, 3, 4, 1, 3, 2, 4]	random				335.0	118	368.0	367.0	0	320.0	319.0
20	1	1	432.0	431.0	400.0	399.0	352.0	351.0	e	2959	365.0	365	[4, 3, 2, 1, 4, 2, 1, 3]	[4, 3, 2, 1, 4, 2, 1, 3]	random	400.0	399.0	512.0	511.0	118	384.0	383.0	0	479.0	479.0
