	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	1	2	3	random	4	4	3	1	2	118
1	5	1	4	2	random	3	3	2	4	1	118
2	6	4	3	2	random	1	2	1	4	3	118
3	6	1	2	4	random	3	4	3	2	1	118
4	1	3	3	2	A	2	4	1	4	1	118
5	6	3	1	2	random	1	2	4	4	3	118
6	6	3	2	4	random	3	4	1	1	2	118
7	6	3	2	3	random	1	4	1	4	2	118
8	4	4	1	4	random	2	2	3	1	3	118
9	7	4	1	3	random	4	3	2	1	2	118
10	1	1	3	4	random	1	4	2	2	3	118
11	3	1	4	2	random	4	2	3	1	3	118
12	1	1	2	1	C	3	3	4	4	2	118
13	1	2	2	4	B	4	1	3	1	3	118
14	7	4	1	3	random	2	2	3	4	1	118
