	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	4	2	1	random	2	1	3	4	3	127
1	3	3	1	3	random	2	2	4	4	1	127
2	7	3	4	1	random	4	2	1	2	3	127
3	3	3	2	3	random	4	1	4	1	2	127
4	4	2	4	3	random	1	3	1	4	2	127
5	2	2	1	3	A	1	4	3	2	4	127
6	1	2	2	4	C	4	1	3	1	3	127
7	6	2	4	3	random	4	3	1	2	1	127
8	1	3	3	2	B	2	4	1	4	1	127
9	5	2	4	1	random	3	1	3	2	4	127
10	6	2	4	2	random	1	1	3	3	4	127
11	6	4	2	1	random	2	3	1	3	4	127
12	7	2	1	4	random	3	4	3	2	1	127
13	6	4	1	3	random	4	3	2	1	2	127
14	3	4	3	1	random	3	2	1	4	2	127
