	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1	448.0	447.0	496.0	495.0	496.0	495.0	loss	3490	3248	432.0	432	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	432.0	431.0	464.0	463.0	128	464.0	463.0	1	448.0	447.0
1	1	1	528.0	527.0	304.0	303.0	384.0	383.0	loss	3490	2560	330.0	330	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	320.0	319.0	336.0	335.0	128	336.0	335.0	0	352.0	351.0
2	1	1	320.0	319.0	304.0	303.0	304.0	303.0	loss	3490	2400	468.0	468	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	304.0	303.0	432.0	431.0	128	384.0	383.0	0	352.0	351.0
3	1	1	496.0	495.0	336.0	335.0	464.0	463.0	loss	3490	2784	542.0	542	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	320.0	319.0	304.0	303.0	128	480.0	479.0	0	384.0	383.0
4	0	1		287.0	320.0	319.0	320.0	319.0	loss	3490	2176	336.0	336	[2, 1, 4, 2, 3, 1, 4, 2]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	304.0	303.0	304.0	303.0	128	320.0	319.0	0	320.0	319.0
5	1	1	288.0	287.0	368.0	367.0	352.0	351.0	loss	3490	2528	402.0	402	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	240.0	239.0	608.0	607.0	128	288.0	287.0	0	384.0	383.0
6	1	1	416.0	415.0	416.0	415.0	352.0	351.0	loss	3490	2592	432.0	432	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	336.0	335.0	384.0	383.0	128	336.0	335.0	0	352.0	351.0
7	1	1	336.0	335.0	400.0	399.0	304.0	303.0	loss	3490	2560	397.0	397	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	336.0	335.0	448.0	447.0	128	336.0	335.0	0	400.0	399.0
8	1	1	320.0	319.0	352.0	351.0	304.0	303.0	loss	3490	2544	335.0	335	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	320.0	319.0	496.0	495.0	128	400.0	399.0	0	352.0	351.0
9	1	1	368.0	367.0	448.0	447.0	368.0	367.0	loss	3490	2608	393.0	393	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	352.0	351.0	368.0	367.0	128	368.0	367.0	0	336.0	335.0
10	1	1	368.0	367.0	368.0	367.0	384.0	383.0	loss	3490	2656	351.0	351	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	352.0	351.0	384.0	383.0	128	432.0	431.0	0	368.0	367.0
