	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	2	1	4	random	3	4	3	1	2	133
1	5	3	1	4	random	2	2	4	3	1	133
2	4	4	1	4	random	3	3	2	1	2	133
3	3	2	4	2	random	3	3	1	1	4	133
4	3	2	4	2	random	1	1	3	4	3	133
5	3	2	1	4	random	2	3	4	3	1	133
6	3	2	1	3	C	1	4	3	2	4	133
7	2	4	2	4	random	2	1	3	3	1	133
8	1	1	2	1	B	3	3	4	4	2	133
9	3	1	3	1	random	4	2	4	2	3	133
10	1	1	4	1	random	4	3	2	2	3	133
11	2	1	4	2	random	4	3	2	3	1	133
12	2	2	2	4	A	4	1	3	1	3	133
13	2	1	3	2	random	1	4	2	3	4	133
14	5	1	3	2	random	1	2	4	3	4	133
