	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	368.0	367.0	368.0	367.0	368.0	367.0	loss	3569	2672	384.0	384	[1, 4, 2, 3, 1, 3, 4, 2]	5	[1, 4, 2, 3, 1, 3, 4, 2]	A	400.0	399.0	400.0	399.0	115	336.0	335.0	0	432.0	431.0
1	1	1	496.0	495.0	336.0	335.0	416.0	415.0	loss	3569	2816	417.0	417	[2, 1, 4, 2, 3, 1, 4, 3]	10	[2, 1, 4, 2, 3, 1, 4, 3]	B	384.0	383.0	400.0	399.0	115	368.0	367.0	0	416.0	415.0
2	1	1	416.0	415.0	352.0	351.0	352.0	351.0	loss	3569	2736	418.0	418	[2, 1, 4, 2, 3, 1, 4, 3]	10	[2, 1, 4, 2, 3, 1, 4, 3]	B	400.0	399.0	432.0	431.0	115	384.0	383.0	0	400.0	399.0
3	0	1							loss	3569	752	350.0	350	[4, 3, 2]	30	[4, 3, 1, 4, 2, 3, 1, 2]	C					115		287.0	0	464.0	463.0
4	1	1	400.0	399.0	448.0	447.0	368.0	367.0	loss	3569	2768	373.0	373	[1, 4, 2, 3, 1, 3, 4, 2]	5	[1, 4, 2, 3, 1, 3, 4, 2]	A	368.0	367.0	448.0	447.0	115	336.0	335.0	0	400.0	399.0
5	1	1	432.0	431.0	384.0	383.0	464.0	463.0	loss	3569	2976	436.0	436	[2, 1, 4, 2, 3, 1, 4, 3]	10	[2, 1, 4, 2, 3, 1, 4, 3]	B	400.0	399.0	464.0	463.0	115	416.0	415.0	0	416.0	415.0
6	1	1	448.0	447.0	336.0	335.0	480.0	479.0	loss	3569	2752	401.0	401	[2, 1, 4, 2, 3, 1, 4, 3]	10	[2, 1, 4, 2, 3, 1, 4, 3]	B	352.0	351.0	384.0	383.0	115	352.0	351.0	0	400.0	399.0
7	1	1	448.0	447.0	384.0	383.0	416.0	415.0	loss	3569	2880	382.0	382	[4, 3, 1, 4, 2, 3, 1, 2]	30	[4, 3, 1, 4, 2, 3, 1, 2]	C	400.0	399.0	384.0	383.0	115	400.0	399.0	0	448.0	447.0
8	1	1	464.0	463.0	384.0	383.0	416.0	415.0	loss	3569	2896	415.0	415	[2, 1, 4, 2, 3, 1, 4, 3]	10	[2, 1, 4, 2, 3, 1, 4, 3]	B	416.0	415.0	400.0	399.0	115	352.0	351.0	0	464.0	463.0
9	1	1	384.0	383.0	384.0	383.0	320.0	319.0	loss	3569	2624	399.0	399	[1, 4, 2, 3, 1, 3, 4, 2]	5	[1, 4, 2, 3, 1, 3, 4, 2]	A	368.0	367.0	384.0	383.0	115	384.0	383.0	0	400.0	399.0
10	1	1	416.0	415.0	464.0	463.0	352.0	351.0	loss	3569	2736	368.0	368	[1, 4, 2, 3, 1, 3, 4, 2]	5	[1, 4, 2, 3, 1, 3, 4, 2]	A	384.0	383.0	416.0	415.0	115	368.0	367.0	0	336.0	335.0
11	0	1			400.0	399.0	352.0	351.0	loss	3569	1888	352.0	352	[1, 4, 2, 3, 1, 4]	5	[1, 4, 2, 3, 1, 3, 4, 2]	A				399.0	115	304.0	303.0	0	432.0	431.0
12	1	1	464.0	463.0	336.0	335.0	384.0	383.0	loss	3569	2832	386.0	386	[4, 3, 1, 4, 2, 3, 1, 2]	30	[4, 3, 1, 4, 2, 3, 1, 2]	C	368.0	367.0	336.0	335.0	115	512.0	511.0	0	432.0	431.0
13	1	1	416.0	415.0	368.0	367.0	400.0	399.0	loss	3569	2784	369.0	369	[4, 3, 1, 4, 2, 3, 1, 2]	30	[4, 3, 1, 4, 2, 3, 1, 2]	C	400.0	399.0	336.0	335.0	115	432.0	431.0	0	432.0	431.0
