	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	512.0	511.0	512.0	511.0	400.0	399.0	e	3631	523.0	523	[3, 2, 4, 1, 2, 1, 4, 3]	[3, 2, 4, 1, 2, 1, 4, 3]	random	591.0	591.0	561.0	560.0	101	496.0	495.0	0	559.0	559.0
1	1	1	480.0	479.0	448.0	447.0	479.0	479.0	e	3614	537.0	537	[2, 1, 4, 3, 1, 3, 2, 4]	[2, 1, 4, 3, 1, 3, 2, 4]	random	496.0	496.0	673.0	672.0	101	497.0	496.0	0	542.0	542.0
2	1	1	464.0	463.0	527.0	527.0	560.0	560.0	e	3743	472.0	472	[1, 2, 4, 3, 1, 2, 3, 4]	[1, 2, 4, 3, 1, 2, 3, 4]	random	544.0	543.0	528.0	527.0	101	545.0	543.0	0	575.0	575.0
3	1	1	576.0	575.0	543.0	543.0	545.0	544.0	e	3839	726.0	726	[3, 4, 1, 2, 1, 2, 4, 3]	[3, 4, 1, 2, 1, 2, 4, 3]	random	543.0	543.0	561.0	560.0	101	511.0	511.0	0	560.0	560.0
4	1	1	383.0	383.0	513.0	512.0	447.0	447.0	e	3631	695.0	695	[3, 4, 1, 2, 4, 1, 3, 2]	[3, 4, 1, 2, 4, 1, 3, 2]	random	721.0	720.0	447.0	447.0	101	496.0	496.0	0	624.0	624.0
5	1	1	448.0	447.0	528.0	527.0	495.0	495.0	e	3535	535.0	535	[2, 1, 4, 3, 1, 4, 3, 2]	[2, 1, 4, 3, 1, 4, 3, 2]	random	560.0	559.0	496.0	495.0	101	464.0	463.0	0	544.0	544.0
6	1	1	480.0	480.0	544.0	543.0	448.0	447.0	e	3696	583.0	583	[3, 1, 4, 2, 1, 2, 3, 4]	[3, 1, 4, 2, 1, 2, 3, 4]	random	609.0	608.0	624.0	623.0	101	431.0	431.0	0	560.0	560.0
7	1	1	385.0	384.0	496.0	495.0	432.0	431.0	e	3392	360.0	360	[1, 2, 3, 4, 1, 4, 3, 2]	[1, 2, 3, 4, 1, 4, 3, 2]	random	576.0	575.0	544.0	543.0	101	432.0	431.0	0	527.0	527.0
8	1	1	608.0	607.0	528.0	527.0	400.0	399.0	e	3631	598.0	598	[3, 4, 2, 1, 2, 1, 4, 3]	[3, 4, 2, 1, 2, 1, 4, 3]	random	496.0	495.0	544.0	543.0	101	495.0	495.0	0	560.0	560.0
9	1	1	415.0	415.0	577.0	576.0	384.0	383.0	e	3487	598.0	598	[2, 1, 4, 3, 4, 3, 2, 1]	[2, 1, 4, 3, 4, 3, 2, 1]	random	496.0	496.0	672.0	672.0	101	495.0	495.0	0	448.0	448.0
