	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	3	1	3	1	random	2	4	2	4	3	216
1	2	2	4	1	random	2	1	3	4	3	216
2	6	1	3	4	random	2	4	2	3	1	216
3	7	2	1	4	random	3	3	4	2	1	216
4	7	2	1	2	random	3	3	4	1	4	216
5	7	3	4	1	random	2	2	1	4	3	216
6	6	2	3	4	random	2	1	4	1	3	216
7	1	3	3	2	C	2	4	1	4	1	216
8	5	3	2	1	random	2	4	1	3	4	216
9	5	1	2	1	random	3	3	4	2	4	216
10	1	2	1	3	B	1	4	3	2	4	216
11	1	1	2	1	A	3	3	4	4	2	216
12	5	1	3	2	random	3	2	4	4	1	216
13	3	3	4	3	random	1	2	1	4	2	216
14	5	3	2	4	random	2	4	1	1	3	216
