	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	544.0	542.0	881.0	879.0	544.0	542.0	e	4960	581.0	581	[2, 4, 3, 1, 2, 1, 3, 4]	[2, 4, 3, 1, 2, 1, 3, 4]	random	1007.0	1005.0	736.0	734.0	247	624.0	622.0	0	624.0	622.0
1	1	1	720.0	718.0	624.0	622.0	560.0	558.0	e	4624	385.0	385	[1, 4, 2, 3, 4, 3, 2, 1]	[1, 4, 2, 3, 4, 3, 2, 1]	random	736.0	734.0	800.0	798.0	247	608.0	606.0	0	576.0	574.0
2	1	1	608.0	606.0	944.0	942.0	512.0	510.0	e	4864	755.0	755	[3, 1, 2, 4, 3, 2, 1, 4]	[3, 1, 2, 4, 3, 2, 1, 4]	random	592.0	590.0	816.0	814.0	247	736.0	734.0	0	656.0	654.0
3	1	1	656.0	654.0	1152.0	1150.0	624.0	622.0	e	4720	451.0	451	[4, 2, 3, 1, 3, 4, 1, 2]	[4, 2, 3, 1, 3, 4, 1, 2]	random	544.0	542.0	592.0	590.0	247	544.0	541.0	0	608.0	606.0
4	1	1	624.0	622.0	720.0	718.0	528.0	526.0	e	4208	931.0	931	[3, 4, 2, 1, 2, 1, 4, 3]	[3, 4, 2, 1, 2, 1, 4, 3]	random	640.0	638.0	592.0	590.0	247	608.0	606.0	0	496.0	494.0
5	1	1	512.0	510.0	496.0	494.0	416.0	414.0	e	4017	479.0	479	[4, 3, 1, 2, 1, 2, 4, 3]	[4, 3, 1, 2, 1, 2, 4, 3]	random	608.0	606.0	544.0	542.0	247	672.0	670.0	0	769.0	767.0
6	1	1	656.0	654.0	512.0	510.0	608.0	606.0	e	4256	673.0	673	[3, 1, 4, 2, 4, 1, 3, 2]	[3, 1, 4, 2, 4, 1, 3, 2]	random	960.0	958.0	480.0	478.0	247	464.0	462.0	0	576.0	574.0
7	1	1	512.0	510.0	688.0	686.0	512.0	510.0	e	4287	754.0	754	[2, 4, 3, 1, 2, 1, 3, 4]	[2, 4, 3, 1, 2, 1, 3, 4]	random	704.0	702.0	608.0	606.0	247	800.0	797.0	0	463.0	461.0
8	1	1	464.0	462.0	688.0	686.0	480.0	478.0	e	4320	654.0	654	[2, 3, 4, 1, 3, 1, 2, 4]	[2, 3, 4, 1, 3, 1, 2, 4]	random	704.0	702.0	528.0	526.0	247	800.0	798.0	0	656.0	654.0
9	1	1	608.0	606.0	687.0	685.0	544.0	542.0	e	4159	548.0	548	[4, 1, 3, 2, 3, 4, 1, 2]	[4, 1, 3, 2, 3, 4, 1, 2]	random	512.0	509.0	592.0	589.0	247	720.0	718.0	0	496.0	494.0
10	1	1	720.0	718.0	624.0	622.0	449.0	447.0	e	4097	643.0	643	[4, 3, 2, 1, 2, 4, 1, 3]	[4, 3, 2, 1, 2, 4, 1, 3]	random	544.0	542.0	688.0	686.0	247	432.0	430.0	0	640.0	638.0
11	1	1	544.0	542.0	432.0	430.0	480.0	478.0	e	3408	545.0	545	[4, 1, 2, 3, 4, 1, 2, 3]	[4, 1, 2, 3, 4, 1, 2, 3]	random	576.0	574.0	384.0	382.0	247	560.0	558.0	0	432.0	430.0
