	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	2	1	3	A	1	4	3	2	4	251
1	7	3	2	3	random	1	4	1	4	2	251
2	7	3	4	3	random	2	2	1	1	4	251
3	7	3	2	1	random	4	1	4	3	2	251
4	5	4	3	4	random	3	2	1	1	2	251
5	6	1	4	1	random	2	2	3	4	3	251
6	1	3	3	2	B	2	4	1	4	1	251
7	6	4	3	4	random	1	2	1	2	3	251
8	6	2	1	4	random	1	3	4	3	2	251
9	7	3	1	4	random	3	2	4	2	1	251
10	1	2	2	4	C	4	1	3	1	3	251
11	7	4	1	3	random	2	3	2	1	4	251
12	7	3	4	1	random	3	1	2	4	2	251
13	7	1	2	1	random	4	3	4	2	3	251
14	6	2	3	4	random	2	4	1	3	1	251
