	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	272.0	270.0	432.0	430.0	288.0	286.0	e	2826	2192	330.0	330	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	288.0	286.0	336.0	334.0	253	304.0	302.0	0	272.0	270.0
1	1	1	176.0	174.0	432.0	430.0	272.0	270.0	e	2826	2015	431.0	431	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	272.0	270.0	336.0	334.0	253	272.0	270.0	0	255.0	253.0
2	1	1	144.0	142.0	448.0	446.0	272.0	270.0	e	2826	2032	351.0	351	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	224.0	222.0	400.0	398.0	253	256.0	254.0	0	288.0	286.0
3	0	1				286.0	240.0	238.0	e	2826	1024	399.0	399	[3, 2, 4, 1, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					253	240.0	238.0	0	256.0	254.0
4	0	1	400.0	398.0	304.0	302.0	368.0	366.0	e	2826	2512	418.0	418	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	352.0	350.0	320.0	318.0	253	352.0	350.0	1	416.0	414.0
5	1	1	240.0	238.0	400.0	398.0	288.0	286.0	e	2826	2096	368.0	368	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	336.0	334.0	320.0	318.0	253	240.0	238.0	0	272.0	270.0
6	1	1	256.0	254.0	336.0	334.0	256.0	254.0	e	2826	2337	387.0	387	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	352.0	350.0	464.0	462.0	253	305.0	303.0	0	368.0	366.0
7	1	1	224.0	222.0	336.0	334.0	224.0	222.0	e	2826	1888	432.0	432	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	272.0	270.0	336.0	334.0	253	240.0	238.0	0	256.0	254.0
8	0	1			288.0	286.0	240.0	238.0	e	2826	1743	383.0	383	[1, 4, 2, 3, 1, 3, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C		206.0	416.0	414.0	253	224.0	222.0	0	367.0	366.0
9	1	1	464.0	462.0	256.0	254.0	384.0	382.0	e	2826	2160	434.0	434	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	144.0	142.0	256.0	254.0	253	320.0	318.0	0	336.0	334.0
10	1	1	480.0	478.0	288.0	286.0	352.0	350.0	e	2826	2207	383.0	383	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	208.0	206.0	255.0	254.0	253	256.0	254.0	0	368.0	366.0
11	0	1				318.0	256.0	254.0	e	2826	1088	254.0	254	[3, 2, 4, 1, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					253	224.0	222.0	0	288.0	286.0
12	0	1	272.0	270.0	288.0	286.0	320.0	318.0	e	2826	2416	417.0	417	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	384.0	382.0	432.0	430.0	253	304.0	302.0	1	416.0	414.0
13	1	1	272.0	270.0	448.0	446.0	272.0	270.0	e	2826	2240	382.0	382	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	288.0	286.0	352.0	350.0	253	320.0	318.0	0	288.0	286.0
14	1	1	240.0	238.0	256.0	254.0	304.0	302.0	e	2826	2256	366.0	366	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	352.0	350.0	400.0	398.0	253	304.0	302.0	0	400.0	398.0
15	1	1	240.0	238.0	288.0	286.0	288.0	286.0	e	2826	2144	333.0	333	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	336.0	334.0	352.0	350.0	253	288.0	286.0	0	352.0	350.0
16	1	1	272.0	270.0	416.0	414.0	288.0	286.0	e	2826	2176	430.0	430	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	304.0	302.0	288.0	286.0	253	320.0	318.0	0	288.0	286.0
17	1	1	288.0	285.0	304.0	302.0	288.0	286.0	e	2826	2383	366.0	366	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	368.0	366.0	496.0	494.0	253	271.0	269.0	0	368.0	366.0
18	1	1	416.0	414.0	496.0	494.0	272.0	270.0	e	2826	2448	270.0	270	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	224.0	222.0	432.0	430.0	253	320.0	318.0	0	288.0	286.0
19	1	1	272.0	270.0	336.0	334.0	288.0	286.0	e	2826	2161	350.0	350	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	320.0	318.0	336.0	334.0	253	288.0	286.0	0	321.0	319.0
20	1	1	224.0	222.0	448.0	446.0	352.0	350.0	e	2826	2432	382.0	382	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	320.0	318.0	400.0	398.0	253	288.0	286.0	0	400.0	398.0
21	1	1	240.0	238.0	352.0	350.0	272.0	270.0	e	2826	2368	300.0	300	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	384.0	382.0	400.0	398.0	253	400.0	398.0	0	320.0	318.0
22	1	1	288.0	286.0	368.0	366.0	384.0	382.0	e	2826	2320	348.0	348	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	288.0	286.0	272.0	270.0	253	352.0	350.0	0	368.0	366.0
23	1	1	432.0	430.0	400.0	398.0	384.0	382.0	e	2826	2288	317.0	317	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	272.0	270.0	256.0	254.0	253	288.0	286.0	0	256.0	254.0
