	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	529.0	528.0	448.0	447.0	495.0	495.0	e	4274	3328	481.0	481	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	479.0	479.0	385.0	384.0	101	497.0	495.0	0	495.0	495.0
1	1	1	512.0	511.0	465.0	464.0	368.0	367.0	e	4274	3407	339.0	339	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	560.0	559.0	543.0	543.0	101	431.0	431.0	0	528.0	528.0
2	1	1	561.0	560.0	465.0	463.0	511.0	511.0	e	4274	3344	469.0	469	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	463.0	463.0	416.0	416.0	101	465.0	464.0	0	463.0	463.0
3	1	1	496.0	496.0	464.0	463.0	385.0	384.0	e	4274	3280	420.0	420	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	608.0	608.0	400.0	400.0	101	432.0	431.0	0	495.0	495.0
4	1	1	496.0	495.0	447.0	447.0	401.0	400.0	e	4274	3215	467.0	467	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	512.0	511.0	512.0	511.0	101	448.0	447.0	0	399.0	399.0
5	1	1	480.0	479.0	431.0	431.0	481.0	480.0	e	4274	3263	403.0	403	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	432.0	431.0	400.0	399.0	101	543.0	543.0	0	496.0	496.0
6	1	1	496.0	496.0	464.0	463.0	351.0	351.0	e	4274	3105	500.0	500	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	449.0	448.0	544.0	543.0	101	400.0	400.0	0	401.0	399.0
7	1	1	544.0	543.0	447.0	447.0	384.0	384.0	e	4274	3295	515.0	515	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	543.0	543.0	465.0	464.0	101	529.0	528.0	0	383.0	383.0
8	1	1	559.0	559.0	465.0	464.0	464.0	463.0	e	4274	3295	372.0	372	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	432.0	432.0	400.0	400.0	101	479.0	479.0	0	496.0	496.0
9	1	1	512.0	512.0	512.0	511.0	400.0	399.0	e	4274	3376	596.0	596	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	529.0	528.0	560.0	559.0	101	416.0	415.0	0	447.0	447.0
