	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1			735.0	735.0	544.0	544.0	e	4560	2379.0	2379	[3, 2, 1, 4, 2, 4, 3]	[3, 2, 1, 4, 2, 4, 3, 1]	random	977.0	976.0	688.0	687.0	102	816.0	816.0	1	800.0	800.0
1	1	1	1217.0	1216.0	977.0	976.0	640.0	639.0	e	6320	713.0	713	[2, 4, 3, 1, 2, 1, 4, 3]	[2, 4, 3, 1, 2, 1, 4, 3]	random	639.0	639.0	656.0	656.0	102	1551.0	1551.0	0	640.0	640.0
2	1	1	577.0	576.0	657.0	655.0	495.0	495.0	e	4625	501.0	501	[1, 2, 4, 3, 4, 2, 3, 1]	[1, 2, 4, 3, 4, 2, 3, 1]	random	991.0	991.0	688.0	688.0	102	625.0	624.0	0	592.0	591.0
3	1	1	639.0	639.0	704.0	704.0	592.0	592.0	e	4639	535.0	535	[4, 3, 1, 2, 1, 3, 2, 4]	[4, 3, 1, 2, 1, 3, 2, 4]	random	529.0	528.0	895.0	895.0	102	688.0	688.0	0	592.0	592.0
4	1	1	607.0	607.0	832.0	831.0	495.0	495.0	e	4767	1303.0	1303	[3, 4, 1, 2, 3, 1, 2, 4]	[3, 4, 1, 2, 3, 1, 2, 4]	random	800.0	800.0	801.0	800.0	102	624.0	624.0	0	608.0	608.0
5	1	1	704.0	703.0	816.0	816.0	752.0	752.0	e	5071	550.0	550	[4, 2, 1, 3, 2, 3, 4, 1]	[4, 2, 1, 3, 2, 3, 4, 1]	random	592.0	591.0	815.0	815.0	102	624.0	624.0	0	768.0	768.0
6	1	1	752.0	751.0	1153.0	1152.0	447.0	447.0	e	4975	760.0	760	[2, 1, 3, 4, 3, 2, 1, 4]	[2, 1, 3, 4, 3, 2, 1, 4]	random	495.0	495.0	448.0	447.0	102	1152.0	1152.0	0	528.0	528.0
7	1	1	689.0	688.0	991.0	991.0	400.0	400.0	e	4912	438.0	438	[1, 2, 3, 4, 2, 4, 3, 1]	[1, 2, 3, 4, 2, 4, 3, 1]	random	1231.0	1231.0	657.0	656.0	102	496.0	496.0	0	448.0	448.0
8	1	1	496.0	496.0	896.0	895.0	367.0	367.0	e	4208	438.0	438	[4, 1, 3, 2, 3, 2, 4, 1]	[4, 1, 3, 2, 3, 2, 4, 1]	random	576.0	576.0	465.0	463.0	102	849.0	848.0	0	559.0	559.0
9	1	1	479.0	479.0	576.0	575.0	463.0	463.0	e	3695	806.0	806	[3, 1, 2, 4, 3, 2, 4, 1]	[3, 1, 2, 4, 3, 2, 4, 1]	random	625.0	623.0	368.0	367.0	102	577.0	576.0	0	607.0	607.0
10	1	1	464.0	463.0	591.0	591.0	385.0	384.0	e	3408	533.0	533	[1, 2, 3, 4, 2, 3, 1, 4]	[1, 2, 3, 4, 2, 3, 1, 4]	random	528.0	527.0	480.0	479.0	102	495.0	495.0	0	465.0	464.0
11	1	1	528.0	528.0	401.0	400.0	447.0	447.0	e	3328	599.0	599	[2, 1, 4, 3, 2, 1, 4, 3]	[2, 1, 4, 3, 2, 1, 4, 3]	random	480.0	480.0	480.0	480.0	102	577.0	576.0	0	415.0	415.0
12	1	1	496.0	495.0	511.0	511.0	433.0	432.0	e	3679	358.0	358	[1, 2, 3, 4, 2, 4, 3, 1]	[1, 2, 3, 4, 2, 4, 3, 1]	random	656.0	655.0	672.0	671.0	102	479.0	479.0	0	432.0	432.0
