	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	3	1	4	1	random	3	2	3	4	2	102
1	5	2	1	3	random	1	4	3	2	4	102
2	1	3	2	3	random	4	4	1	2	1	102
3	5	2	1	2	random	4	4	3	3	1	102
4	3	2	2	4	B	4	1	3	1	3	102
5	4	4	2	3	random	1	3	1	4	2	102
6	6	2	1	3	D	1	4	3	2	4	102
7	6	4	3	1	random	4	1	2	3	2	102
8	3	3	2	1	random	2	4	1	4	3	102
9	3	3	3	2	A	2	4	1	4	1	102
10	4	1	2	1	C	3	3	4	4	2	102
11	7	3	4	1	random	3	2	1	4	2	102
12	7	4	1	2	random	4	2	3	3	1	102
13	2	2	4	2	random	4	1	3	3	1	102
14	5	4	2	4	random	2	3	1	1	3	102
15	4	1	2	3	random	4	3	4	1	2	102
