	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	1	4	1	random	2	2	3	3	4	214
1	7	4	3	1	random	4	2	1	3	2	214
2	7	1	2	4	random	3	3	4	1	2	214
3	7	4	2	3	random	1	1	3	2	4	214
4	2	1	2	1	C	3	3	4	4	2	214
5	1	2	2	4	B	4	1	3	1	3	214
6	7	4	3	2	random	4	2	1	1	3	214
7	7	1	4	2	random	4	3	2	3	1	214
8	7	1	2	4	random	1	3	4	3	2	214
9	7	3	1	4	random	2	4	2	1	3	214
10	1	3	3	2	A	2	4	1	4	1	214
11	7	2	4	3	random	4	3	1	1	2	214
12	7	3	1	2	random	1	2	4	4	3	214
13	7	2	4	2	random	1	3	1	4	3	214
14	7	3	4	2	random	4	1	2	1	3	214
