	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	528.0	526.0	320.0	318.0	400.0	398.0	e	3402.0	2671.0	428.0	428.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	368.0	366.0	368.0	366.0	246	368.0	366.0	0	319.0	317.0
1	1	1	480.0	478.0	352.0	350.0	352.0	350.0	e	3402.0	2672.0	529.0	529.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	352.0	350.0	448.0	446.0	246	352.0	350.0	0	336.0	334.0
2	0	1		334.0	353.0	350.0	415.0	413.0	e	3402.0	2623.0	577.0	577.0	[3, 2, 4, 1, 2, 4, 3, 2]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	416.0	414.0	351.0	350.0	246	352.0	350.0	0	400.0	398.0
3	1	1	368.0	366.0	352.0	350.0	384.0	382.0	e	3402.0	2561.0	626.0	626.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	368.0	366.0	369.0	367.0	246	384.0	382.0	0	336.0	334.0
4	1	1	320.0	318.0	368.0	366.0	336.0	334.0	e	3402.0	2543.0	416.0	416.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	479.0	478.0	352.0	350.0	246	336.0	334.0	0	352.0	350.0
5	1	1	320.0	318.0	448.0	446.0	352.0	350.0	e	3402.0	2896.0	335.0	335.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	560.0	558.0	352.0	350.0	246	544.0	542.0	0	320.0	318.0
6	1	1	304.0	302.0	464.0	462.0	336.0	334.0	e	3402.0	2560.0	399.0	399.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	464.0	462.0	320.0	318.0	246	336.0	334.0	0	336.0	334.0
7	1	1	352.0	350.0	384.0	382.0	400.0	398.0	e	3402.0	2592.0	558.0	558.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	334.0	384.0	382.0	246	352.0	350.0	0	384.0	382.0
8	0	1	496.0	494.0	400.0	398.0	433.0	431.0	e	3402.0	3057.0	495.0	495.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	400.0	398.0	448.0	446.0	246	400.0	398.0	1	480.0	478.0
9	0	1		286.0	336.0	334.0	384.0	382.0	e	3402.0	2496.0	416.0	416.0	[4, 3, 1, 4, 2, 3, 1, 4]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	334.0	304.0	302.0	246	320.0	318.0	0	528.0	526.0
