	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	1	2	1	3	random	1	3	4	4	2	246
1	6	4	2	1	random	3	1	3	4	2	246
2	7	1	3	1	random	4	2	4	3	2	246
3	1	1	2	1	random	2	4	3	3	4	246
4	1	2	2	4	B	4	1	3	1	3	246
5	4	3	4	2	random	3	1	2	4	1	246
6	1	3	1	2	random	1	4	2	3	4	246
7	2	3	4	2	random	1	2	1	4	3	246
8	7	3	3	2	A	2	4	1	4	1	246
9	1	3	4	1	random	3	2	1	4	2	246
10	1	1	2	1	C	3	3	4	4	2	246
11	5	3	2	4	random	2	4	1	1	3	246
12	2	3	4	3	random	2	2	1	4	1	246
13	6	1	4	1	random	3	3	2	4	2	246
14	5	3	4	3	random	1	1	2	4	2	246
