	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	1	1	3	2	random	1	4	2	3	4	210
1	1	4	1	3	random	4	2	3	1	2	210
2	3	1	2	1	random	4	3	4	2	3	210
3	3	4	3	2	random	4	2	1	3	1	210
4	7	1	2	1	C	3	3	4	4	2	210
5	2	1	4	3	random	1	3	2	4	2	210
6	7	2	2	4	B	4	1	3	1	3	210
7	6	2	1	3	random	2	3	4	4	1	210
8	1	3	1	3	random	1	2	4	2	4	210
9	5	1	3	4	random	2	4	2	1	3	210
10	7	3	3	2	A	2	4	1	4	1	210
11	1	4	1	2	random	3	3	2	1	4	210
12	1	2	4	1	random	4	1	3	3	2	210
13	3	1	3	4	random	3	4	2	1	2	210
14	2	1	2	4	random	2	3	4	3	1	210
