	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	1	1	2	1	A	3	3	4	4	2	244
1	6	1	4	1	random	4	2	3	3	2	244
2	5	2	3	4	random	3	4	1	2	1	244
3	6	1	2	4	random	3	3	4	1	2	244
4	4	1	4	3	random	2	2	3	1	4	244
5	7	2	3	1	random	4	4	1	3	2	244
6	1	2	1	3	B	1	4	3	2	4	244
7	7	2	3	4	random	3	4	1	1	2	244
8	7	3	1	4	random	3	2	4	2	1	244
9	6	2	4	3	random	2	1	3	4	1	244
10	1	3	3	2	C	2	4	1	4	1	244
11	4	1	4	2	random	1	2	3	3	4	244
12	6	3	1	4	random	1	4	2	2	3	244
13	5	4	1	3	random	2	2	3	4	1	244
14	5	2	3	4	random	1	4	1	2	3	244
