	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1	415.0	415.0	336.0	335.0	432.0	431.0	e	2946	2735	353.0	353	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	369.0	368.0	368.0	367.0	250	448.0	447.0	1	367.0	367.0
1	0	1		207.0	288.0	287.0	463.0	463.0	e	2946	2367	389.0	389	[2, 1, 4, 2, 3, 1, 4, 2]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	416.0	416.0	305.0	304.0	250	353.0	352.0	0	335.0	335.0
2	1	1	320.0	319.0	272.0	271.0	400.0	399.0	e	2946	2335	373.0	373	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	416.0	415.0	304.0	303.0	250	304.0	303.0	0	319.0	319.0
3	0	1							e	2946	0		386	[2]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C					250			0		
4	1	1	336.0	335.0	288.0	287.0	448.0	447.0	e	2946	2463	421.0	421	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	352.0	351.0	304.0	303.0	250	400.0	399.0	0	335.0	335.0
5	1	1	336.0	335.0	288.0	287.0	447.0	447.0	e	2946	2479	388.0	388	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	383.0	383.0	321.0	320.0	250	401.0	400.0	0	303.0	303.0
6	1	1	255.0	255.0	384.0	383.0	288.0	287.0	e	2946	2207	291.0	291	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	289.0	288.0	384.0	383.0	250	320.0	319.0	0	287.0	287.0
7	1	1	385.0	384.0	431.0	431.0	368.0	368.0	e	2946	2480	305.0	305	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	400.0	399.0	320.0	319.0	250	337.0	336.0	0	239.0	239.0
8	0	1							e	2946	0		417	[3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A					250			0		
9	1	1	192.0	191.0	369.0	368.0	352.0	351.0	e	2946	2383	307.0	307	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	447.0	447.0	352.0	352.0	250	367.0	367.0	0	304.0	304.0
10	1	1	368.0	367.0	432.0	431.0	288.0	287.0	e	2946	2495	385.0	385	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	368.0	367.0	288.0	287.0	250	432.0	431.0	0	319.0	319.0
11	1	1	65.0	64.0	416.0	415.0	287.0	287.0	e	2946	2368	303.0	303	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	528.0	527.0	352.0	351.0	250	321.0	320.0	0	399.0	399.0
12	1	1	369.0	368.0	335.0	335.0	321.0	320.0	e	2946	2368	296.0	296	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	367.0	367.0	321.0	320.0	250	336.0	335.0	0	319.0	319.0
13	1	1	81.0	80.0	433.0	432.0	384.0	383.0	e	2946	2384	402.0	402	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	608.0	607.0	303.0	303.0	250	336.0	335.0	0	239.0	239.0
14	1	1	161.0	160.0	399.0	399.0	369.0	368.0	e	2946	2256	288.0	288	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	448.0	447.0	320.0	319.0	250	304.0	303.0	0	255.0	255.0
15	0	1						415.0	e	2946	1151	273.0	273	[2, 1, 4, 1]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A					250	400.0	399.0	0	335.0	335.0
16	1	1	417.0	416.0	335.0	335.0	385.0	384.0	e	2946	2400	419.0	419	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	320.0	319.0	288.0	287.0	250	288.0	287.0	0	367.0	367.0
17	0	1		239.0	400.0	399.0	384.0	383.0	e	2946	2367	416.0	416	[4, 3, 1, 4, 2, 3, 1, 4]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	352.0	351.0	288.0	287.0	250	288.0	287.0	0	415.0	415.0
18	0	1		223.0	304.0	303.0	400.0	399.0	e	2946	2191	307.0	307	[2, 1, 4, 2, 3, 1, 4, 2]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	303.0	303.0	321.0	320.0	250	319.0	319.0	0	320.0	320.0
19	0	1	367.0	367.0	320.0	319.0	416.0	415.0	e	2946	2559	420.0	420	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	417.0	415.0	352.0	351.0	250	320.0	319.0	1	367.0	367.0
20	1	1	416.0	415.0	303.0	303.0	400.0	400.0	e	2946	2399	401.0	401	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	335.0	288.0	287.0	250	273.0	272.0	0	383.0	383.0
21	1	1	384.0	383.0	304.0	303.0	431.0	431.0	e	2946	2543	323.0	323	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	480.0	479.0	304.0	303.0	250	321.0	320.0	0	319.0	319.0
22	1	1	351.0	351.0	256.0	255.0	431.0	431.0	e	2946	2271	375.0	375	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	289.0	288.0	272.0	271.0	250	369.0	368.0	0	303.0	303.0
