	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	287.0	287.0	449.0	448.0	176.0	175.0	e	2319	411.0	411	[4, 3, 2, 1, 3, 4, 1, 2]	[4, 3, 2, 1, 3, 4, 1, 2]	random	449.0	448.0	367.0	367.0	250	304.0	303.0	0	287.0	287.0
1	0	1				639.0	97.0	96.0	e	1535	390.0	390	[1, 4, 3, 2, 4]	[1, 4, 3, 2, 3, 4, 1, 2]	random					250	335.0	335.0	0	464.0	464.0
2	0	1			496.0	496.0	305.0	304.0	e	1680	414.0	414	[2, 1, 3, 4, 3, 2]	[2, 1, 3, 4, 3, 4, 1, 2]	random				80.0	250	400.0	399.0	0	399.0	399.0
3	1	1	336.0	335.0	448.0	447.0	368.0	367.0	e	2639	398.0	398	[1, 3, 2, 4, 1, 2, 3, 4]	[1, 3, 2, 4, 1, 2, 3, 4]	random	304.0	303.0	432.0	431.0	250	399.0	399.0	0	352.0	352.0
4	1	1	288.0	287.0	417.0	416.0	287.0	287.0	e	2639	374.0	374	[1, 4, 2, 3, 4, 3, 2, 1]	[1, 4, 2, 3, 4, 3, 2, 1]	random	351.0	351.0	480.0	480.0	250	385.0	384.0	0	431.0	431.0
5	1	1	544.0	543.0	401.0	400.0	400.0	399.0	e	2991	406.0	406	[1, 3, 2, 4, 2, 4, 1, 3]	[1, 3, 2, 4, 2, 4, 1, 3]	random	384.0	383.0	463.0	463.0	250	400.0	399.0	0	399.0	399.0
6	1	1	480.0	479.0	416.0	415.0	336.0	335.0	e	3071	454.0	454	[3, 2, 4, 1, 2, 1, 3, 4]	[3, 2, 4, 1, 2, 1, 3, 4]	random	528.0	527.0	480.0	479.0	250	415.0	415.0	0	416.0	416.0
7	1	1	273.0	272.0	400.0	399.0	352.0	351.0	e	2800	374.0	374	[4, 1, 3, 2, 1, 4, 3, 2]	[4, 1, 3, 2, 1, 4, 3, 2]	random	400.0	399.0	400.0	399.0	250	528.0	527.0	0	447.0	447.0
8	1	1	257.0	256.0	352.0	351.0	304.0	303.0	e	2480	422.0	422	[4, 3, 1, 2, 4, 1, 2, 3]	[4, 3, 1, 2, 4, 1, 2, 3]	random	384.0	383.0	400.0	399.0	250	400.0	399.0	0	383.0	383.0
9	1	1	223.0	223.0	399.0	399.0	369.0	368.0	e	2575	390.0	390	[2, 3, 1, 4, 1, 4, 2, 3]	[2, 3, 1, 4, 1, 4, 2, 3]	random	448.0	448.0	465.0	464.0	250	336.0	335.0	0	335.0	335.0
10	1	1	336.0	335.0	433.0	432.0	304.0	303.0	e	2831	374.0	374	[4, 3, 1, 2, 3, 2, 4, 1]	[4, 3, 1, 2, 3, 2, 4, 1]	random	464.0	463.0	479.0	479.0	250	400.0	399.0	0	415.0	415.0
11	0	1							e	0		374	[4]	[3, 4, 2, 1, 4, 1, 3, 2]	random					250			0		
