	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	464.0	464.0	544.0	543.0	368.0	367.0	e	3136	907.0	907	[3, 4, 2, 1, 3, 2, 1, 4]	[3, 4, 2, 1, 3, 2, 1, 4]	random	400.0	399.0	400.0	400.0	218	480.0	479.0	0	480.0	480.0
1	1	1	336.0	336.0	464.0	464.0	352.0	351.0	e	3072	574.0	574	[4, 3, 1, 2, 3, 4, 2, 1]	[4, 3, 1, 2, 3, 4, 2, 1]	random	464.0	463.0	432.0	431.0	218	512.0	511.0	0	512.0	511.0
2	1	1	336.0	336.0	368.0	367.0	448.0	447.0	e	2864	662.0	662	[3, 2, 1, 4, 3, 4, 1, 2]	[3, 2, 1, 4, 3, 4, 1, 2]	random	448.0	448.0	496.0	495.0	218	368.0	367.0	0	400.0	400.0
3	1	1	384.0	383.0	447.0	447.0	465.0	464.0	e	3088	502.0	502	[4, 2, 1, 3, 1, 4, 2, 3]	[4, 2, 1, 3, 1, 4, 2, 3]	random	416.0	415.0	480.0	480.0	218	464.0	463.0	0	432.0	431.0
4	1	1	448.0	448.0	416.0	415.0	368.0	367.0	e	2976	558.0	558	[2, 1, 3, 4, 3, 2, 1, 4]	[2, 1, 3, 4, 3, 2, 1, 4]	random	432.0	431.0	416.0	416.0	218	512.0	511.0	0	384.0	383.0
5	1	1	320.0	320.0	448.0	448.0	336.0	335.0	e	2912	454.0	454	[1, 2, 4, 3, 4, 1, 2, 3]	[1, 2, 4, 3, 4, 1, 2, 3]	random	416.0	415.0	464.0	464.0	218	512.0	512.0	0	416.0	415.0
6	1	1	321.0	320.0	416.0	415.0	416.0	415.0	e	3121	550.0	550	[2, 3, 4, 1, 2, 1, 3, 4]	[2, 3, 4, 1, 2, 1, 3, 4]	random	560.0	559.0	496.0	495.0	218	384.0	383.0	0	528.0	527.0
7	1	1	384.0	383.0	576.0	575.0	432.0	432.0	e	3328	837.0	837	[2, 3, 1, 4, 1, 2, 4, 3]	[2, 3, 1, 4, 1, 2, 4, 3]	random	496.0	496.0	432.0	431.0	218	464.0	463.0	0	544.0	543.0
8	1	1	400.0	400.0	432.0	432.0	576.0	575.0	e	3248	583.0	583	[4, 2, 3, 1, 4, 3, 2, 1]	[4, 2, 3, 1, 4, 3, 2, 1]	random	400.0	399.0	576.0	575.0	218	416.0	416.0	0	448.0	447.0
9	1	1	304.0	304.0	512.0	512.0	384.0	383.0	e	3184	502.0	502	[4, 1, 3, 2, 4, 1, 3, 2]	[4, 1, 3, 2, 4, 1, 3, 2]	random	592.0	591.0	464.0	464.0	218	528.0	527.0	0	400.0	399.0
10	1	1	352.0	351.0	592.0	591.0	624.0	623.0	e	3776	550.0	550	[2, 1, 4, 3, 4, 3, 2, 1]	[2, 1, 4, 3, 4, 3, 2, 1]	random	512.0	512.0	336.0	335.0	218	480.0	479.0	0	880.0	880.0
11	1	1	528.0	528.0	480.0	480.0	432.0	432.0	e	3328	518.0	518	[2, 4, 1, 3, 1, 2, 4, 3]	[2, 4, 1, 3, 1, 2, 4, 3]	random	528.0	528.0	432.0	431.0	218	496.0	496.0	0	432.0	432.0
12	1	1	368.0	367.0	448.0	447.0	512.0	512.0	e	3040	550.0	550	[4, 2, 1, 3, 1, 2, 4, 3]	[4, 2, 1, 3, 1, 2, 4, 3]	random	496.0	495.0	416.0	415.0	218	400.0	400.0	0	400.0	399.0
13	1	1	272.0	271.0	432.0	431.0	384.0	384.0	e	2864	454.0	454	[4, 1, 3, 2, 1, 4, 3, 2]	[4, 1, 3, 2, 1, 4, 3, 2]	random	400.0	399.0	464.0	463.0	218	512.0	512.0	0	400.0	399.0
14	0	1							e	736	502.0	502	[1, 4, 3]	[1, 4, 2, 3, 1, 4, 3, 2]	random					218		367.0	0	368.0	367.0
15	1	1	288.0	288.0	448.0	447.0	432.0	432.0	e	2912	622.0	622	[2, 1, 3, 4, 1, 4, 2, 3]	[2, 1, 3, 4, 1, 4, 2, 3]	random	432.0	432.0	464.0	464.0	218	432.0	432.0	0	416.0	416.0
