	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	5	3	3	2	C	2	4	1	4	1	220
1	1	2	1	2	random	4	3	4	3	1	220
2	3	1	2	1	random	3	3	4	2	4	220
3	6	4	2	4	random	3	1	3	1	2	220
4	4	2	3	4	random	2	1	4	3	1	220
5	1	1	4	1	random	4	2	3	3	2	220
6	7	2	1	3	random	2	4	3	4	1	220
7	6	4	3	1	random	4	2	1	3	2	220
8	1	2	1	3	B	1	4	3	2	4	220
9	5	4	3	2	random	4	1	2	3	1	220
10	1	1	2	1	A	3	3	4	4	2	220
11	1	1	2	1	random	4	3	4	2	3	220
12	7	2	4	2	random	4	1	3	1	3	220
13	7	4	2	3	random	1	1	3	2	4	220
14	6	1	3	4	random	2	2	4	1	3	220
