	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	4	2	1	3	B	1	4	3	2	4	228
1	7	1	4	3	random	2	2	3	1	4	228
2	2	1	2	1	A	3	3	4	4	2	228
3	7	3	2	1	random	2	4	1	4	3	228
4	7	2	4	2	random	4	3	1	1	3	228
5	7	2	3	4	random	1	1	4	3	2	228
6	1	3	3	2	C	2	4	1	4	1	228
7	7	2	3	2	random	4	4	1	1	3	228
8	7	2	3	4	random	3	1	4	1	2	228
9	7	2	4	3	random	2	1	3	1	4	228
10	7	2	4	2	random	4	1	3	3	1	228
11	7	3	4	2	random	4	1	2	3	1	228
12	7	2	3	1	random	3	1	4	4	2	228
13	7	4	2	3	random	1	3	1	4	2	228
14	7	1	4	3	random	2	3	2	4	1	228
